Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Demo123,Chrome 70.0.3538.77,,2018-11-08 16:19:41,2018-11-08 16:19:59,17.761s,PASSED
,,,,,,
Test Cases/Test_002_AddUserDemo,Chrome 70.0.3538.77,,2018-11-08 16:19:41,2018-11-08 16:19:50,9.200s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-08 16:19:41,2018-11-08 16:19:43,2.053s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-08 16:19:43,2018-11-08 16:19:45,1.304s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 16:19:45,2018-11-08 16:19:48,3.678s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-08 16:19:48,2018-11-08 16:19:48,0.151s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-08 16:19:48,2018-11-08 16:19:49,0.101s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-08 16:19:49,2018-11-08 16:19:49,0.098s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-08 16:19:49,2018-11-08 16:19:49,0.086s,PASSED
takeScreenshot,Chrome 70.0.3538.77,,2018-11-08 16:19:49,2018-11-08 16:19:49,0.455s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 16:19:49,2018-11-08 16:19:49,0.069s,PASSED
takeScreenshot,Chrome 70.0.3538.77,,2018-11-08 16:19:49,2018-11-08 16:19:50,0.394s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-11-08 16:19:50,2018-11-08 16:19:50,0.533s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-08 16:19:50,2018-11-08 16:19:50,0.088s,PASSED
,,,,,,
Test Cases/Test_002_AddUserDemo,Chrome 70.0.3538.77,,2018-11-08 16:19:50,2018-11-08 16:19:59,8.300s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-08 16:19:50,2018-11-08 16:19:51,1.042s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-08 16:19:51,2018-11-08 16:19:53,1.694s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 16:19:53,2018-11-08 16:19:57,3.655s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-08 16:19:57,2018-11-08 16:19:57,0.142s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-08 16:19:57,2018-11-08 16:19:57,0.090s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-08 16:19:57,2018-11-08 16:19:57,0.092s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-08 16:19:57,2018-11-08 16:19:57,0.093s,PASSED
takeScreenshot,Chrome 70.0.3538.77,,2018-11-08 16:19:57,2018-11-08 16:19:58,0.426s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 16:19:58,2018-11-08 16:19:58,0.055s,PASSED
takeScreenshot,Chrome 70.0.3538.77,,2018-11-08 16:19:58,2018-11-08 16:19:58,0.392s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-11-08 16:19:58,2018-11-08 16:19:59,0.526s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-08 16:19:59,2018-11-08 16:19:59,0.083s,PASSED
